#Body	Type	Model

840	Animals	ridgeback_giant
841	Animals	ridgeback_flame
842	Animals	ridgeback_hatchling
209	Animals	ruminants_goat_billy
88	Animals	ruminants_goat_mountain
207	Animals	ruminants_sheep
223	Animals	ruminants_sheep_shorn
790	Monsters	sand_vortex
48	Monsters	scorpions_giant
48	Monsters	scorpions_giant
144	Sea	sea_horse_sea_horse
150	Sea	sea_serpents_sea_serpent
145	Sea	sea_serpents_sea_serpent
21	Monsters	serpents_snake_giant
21	Monsters	serpents_snake_giant
89	Monsters	serpents_snake_giant_ice
90	Monsters	serpents_snake_giant_lava
91	Monsters	serpents_snake_giant_silver
92	Monsters	serpents_snake_giant_silver
93	Monsters	serpents_snake_giant_silver
146	Monsters	shadowlords_shadowlord
793	Animals	skeletal_mount
50	Monsters	skeletons_skeleton
56	Monsters	skeletons_skeleton
57	Monsters	skeletons_skeleton
147	Monsters	skeletons_skeleton_knight
148	Monsters	skeletons_skeleton_mage
51	Monsters	slimes_slime
51	Monsters	slimes_slime
94	Monsters	slimes_slime_frost
96	Monsters	slimes_slime_frost
574	Monsters	spirits_blade_spirit
26	Monsters	spirits_ghost
26	Monsters	spirits_ghost
26	Monsters	spirits_ghost
149	Monsters	succubi_succubus
174	Monsters	succubi_succubus
794	Animals	swamp_dragon
194	Animals	swamp_dragon_ethereal
799	Animals	swamp_dragon_armor
778	Monsters	swarm
152	Monsters	terathan_terathan_avenger
71	Monsters	terathan_terathan_drone
72	Monsters	terathan_terathan_queen
70	Monsters	terathan_terathan_warrior
76	Monsters	titans_titan
53	Monsters	trolls_troll
54	Monsters	trolls_troll
55	Monsters	trolls_troll_frost
153	Monsters	walking_dead_ghoul
154	Monsters	walking_dead_mummy
155	Monsters	walking_dead_rotting_corpse
3	Monsters	walking_dead_zombie
3	Monsters	walking_dead_zombie
221	Animals	walrus_walrus_male
221	Animals	walrus_walrus_male

##New 3D Critters (Replaces 2D Bitmaps)

#Body	Type	Model

5	Animals	birds_eagle
5	Animals	birds_eagle
6	Animals	birds_generic
6	Animals	birds_generic
6	Animals	birds_generic
6	Animals	birds_generic
831	Animals	birds_parrot
832	Animals	birds_pheonix
833	Animals	birds_turkey
834	Animals	felines_hellcat
201	Animals	felines_housecat
208	Animals	fowl_normal_hen
208	Animals	fowl_normal_hen
81	Animals	frogs_bullfrog
205	Animals	rodents_rabbit_cottontail
835	Animals	rodents_rabbit_jack
205	Animals	rodents_rabbit_cottontail
238	Animals	rodents_rat_sewer
843	Animals	rodents_rat_town
52	Animals	serpents_snake
837	Animals	serpents_snake_ice
838	Animals	serpents_snake_lava

##Age of Shadows Stuff

#Body	Type	Model

300	Monsters	crystal_elemental
301	Monsters	treefellow
302	Monsters	skittering_hopper
303	Monsters	devourer
304	Monsters	flesh_golem
305	Monsters	gore_fiend
306	Monsters	impaler
307	Monsters	gibberling
308	Monsters	bonedemon
309	Monsters	patchskeleton
310	Monsters	wailingbanshee
311	Monsters	shadow_knight
312	Monsters	abysmal_horror
313	Monsters	Darknight_Creeper
314	Monsters	ravager
315	Monsters	flesh_renderer
316	Monsters	wander
317	Monsters	vampire_bat
318	Monsters	demon_knight
319	Monsters	mound_of_maggots

777	Monsters	doppleganger
784	Monsters	arcane_demon
785	Monsters	four_armed_demon
788	Monsters	sphinx
789	Monsters	quagmire

930	Equipment	Weapon_Scythe
931	Equipment	Weapon_Bone_Harvester
932	Equipment	Weapon_Scepter
933	Equipment	Weapon_Bladed_Staff
934	Equipment	Weapon_Pike
935	Equipment	Weapon_Double_Bladed_Staff
936	Equipment	Weapon_Lance
937	Equipment	Weapon_Crescent_Blade
938	Equipment	Weapon_Composite_Bow
939	Equipment	Weapon_Repeating_Crossbow
940	Equipment	Weapon_Paladin_Sword


##Japanese Wearables Contest Stuff

#Body	Type	Model

481	Equipment	H_Male_Hat_Bandana
482	Equipment	H_Male_Boots
483	Equipment	H_Male_Cloak
484	Equipment	H_Male_Kilt
485	Equipment	H_Male_Dress_Fancy
486	Equipment	H_Male_Shirt_Tunic

1481	Equipment	H_Female_Hat_Bandana
1482	Equipment	H_Female_Boots
1483	Equipment	H_Female_Cloak
1484	Equipment	H_Female_Kilt
1485	Equipment	H_Female_Dress_Fancy
1486	Equipment	H_Female_Shirt_Tunic
